nodes  18
1	-1	-1	0
2	0	-1	0
3	1	-1	0
4	-1	0	0
5	0	0	0
6	1	0	0
7	-1	1	0
8	0	1	0
9	1	1	0
10	-1	-1	1
11	0	-1	1
12	1	-1	1
13	-1	0	1
14	0	0	1
15	1	0	1
16	-1	1	1
17	0	1	1
18	1	1	1
 
elements  4
1	1	2	4	5	10	11	13	14
2	2	3	5	6	11	12	14	15
3	4	5	7	8	13	14	16	17
4	5	6	8	9	14	15	17	18
 
boundaryconditions  27
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	0
6	2	0
7	2	0
8	2	0
9	2	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	0
7	3	0
8	3	0
9	3	0
 
nodalforces  9
10	3	-1.
11	3	-1.
12	3	-1.
13	3	-1.
14	3	-1.
15	3	-1.
16	3	-1.
17	3	-1.
18	3	-1.
